dataset,categoria,ferramenta,fold,tempo
vehicle,Principal,TPOT,6,20:09
vehicle,Principal,TPOT,7,57:24
vehicle,Principal,TPOT,8,07:58
vehicle,Principal,TPOT,9,22:10
vehicle,Principal,TPOT,10,06:14
vehicle,Principal,Rminer,1,06:10
vehicle,Principal,Rminer,2,17:10
vehicle,Principal,Rminer,3,16:28
vehicle,Principal,Rminer,4,15:35
vehicle,Principal,Rminer,5,15:12
vehicle,Principal,Rminer,6,16:29
vehicle,Principal,Rminer,7,15:19
vehicle,Principal,Rminer,8,16:22
vehicle,Principal,Rminer,9,17:00
vehicle,Principal,Rminer,10,15:33
vehicle,Principal,TransmogrifAI,1,02:54
vehicle,Principal,TransmogrifAI,2,02:36
vehicle,Principal,TransmogrifAI,3,02:35
vehicle,Principal,TransmogrifAI,4,02:32
vehicle,Principal,TransmogrifAI,5,02:38
vehicle,Principal,TransmogrifAI,6,02:36
vehicle,Principal,TransmogrifAI,7,02:35
vehicle,Principal,TransmogrifAI,8,02:40
vehicle,Principal,TransmogrifAI,9,02:26
vehicle,Principal,TransmogrifAI,10,02:28
vehicle,Deep Learning,H2O AutoML,1,60:00
vehicle,Deep Learning,H2O AutoML,2,60:00
vehicle,Deep Learning,H2O AutoML,3,60:00
vehicle,Deep Learning,H2O AutoML,4,60:00
vehicle,Deep Learning,H2O AutoML,5,60:00
vehicle,Deep Learning,H2O AutoML,6,60:00
vehicle,Deep Learning,H2O AutoML,7,60:00
vehicle,Deep Learning,H2O AutoML,8,60:00
vehicle,Deep Learning,H2O AutoML,9,60:00
vehicle,Deep Learning,H2O AutoML,10,60:00
vehicle,Deep Learning,Auto-PyTorch,1,60:00
vehicle,Deep Learning,Auto-PyTorch,2,60:00
vehicle,Deep Learning,Auto-PyTorch,3,60:00
vehicle,Deep Learning,Auto-PyTorch,4,60:00
vehicle,Deep Learning,Auto-PyTorch,5,60:00
vehicle,Deep Learning,Auto-PyTorch,6,60:00
vehicle,Deep Learning,Auto-PyTorch,7,60:00
vehicle,Deep Learning,Auto-PyTorch,8,60:00
vehicle,Deep Learning,Auto-PyTorch,9,60:00
vehicle,Deep Learning,Auto-PyTorch,10,60:00
vehicle,Deep Learning,Auto-Keras,1,11:41
vehicle,Deep Learning,Auto-Keras,2,12:39
vehicle,Deep Learning,Auto-Keras,3,10:02
vehicle,Deep Learning,Auto-Keras,4,11:35
vehicle,Deep Learning,Auto-Keras,5,11:14
vehicle,Deep Learning,Auto-Keras,6,10:58
vehicle,Deep Learning,Auto-Keras,7,11:18
vehicle,Deep Learning,Auto-Keras,8,11:30
vehicle,Deep Learning,Auto-Keras,9,12:19
vehicle,Deep Learning,Auto-Keras,10,14:41
vehicle,XGBoost,H2O AutoML,1,01:33
vehicle,XGBoost,H2O AutoML,2,01:20
vehicle,XGBoost,H2O AutoML,3,01:30
vehicle,XGBoost,H2O AutoML,4,00:50
vehicle,XGBoost,H2O AutoML,5,01:28
vehicle,XGBoost,H2O AutoML,6,01:51
vehicle,XGBoost,H2O AutoML,7,01:50
vehicle,XGBoost,H2O AutoML,8,01:24
vehicle,XGBoost,H2O AutoML,9,01:26
vehicle,XGBoost,H2O AutoML,10,01:26
vehicle,XGBoost,Rminer,1,00:07
vehicle,XGBoost,Rminer,2,00:07
vehicle,XGBoost,Rminer,3,00:07
vehicle,XGBoost,Rminer,4,00:07
vehicle,XGBoost,Rminer,5,00:07
vehicle,XGBoost,Rminer,6,00:07
vehicle,XGBoost,Rminer,7,00:07
vehicle,XGBoost,Rminer,8,00:07
vehicle,XGBoost,Rminer,9,00:07
vehicle,XGBoost,Rminer,10,00:07
diabetes,Principal,H2O AutoML,1,00:34
diabetes,Principal,H2O AutoML,2,00:34
diabetes,Principal,H2O AutoML,3,00:34
diabetes,Principal,H2O AutoML,4,00:37
diabetes,Principal,H2O AutoML,5,00:35
diabetes,Principal,H2O AutoML,6,00:37
diabetes,Principal,H2O AutoML,7,00:35
diabetes,Principal,H2O AutoML,8,00:34
diabetes,Principal,H2O AutoML,9,00:34
diabetes,Principal,H2O AutoML,10,00:35
diabetes,Principal,AutoGluon,1,00:52
diabetes,Principal,AutoGluon,2,00:59
diabetes,Principal,AutoGluon,3,00:55
diabetes,Principal,AutoGluon,4,00:54
diabetes,Principal,AutoGluon,5,00:58
diabetes,Principal,AutoGluon,6,00:56
diabetes,Principal,AutoGluon,7,00:57
diabetes,Principal,AutoGluon,8,00:58
diabetes,Principal,AutoGluon,9,00:55
diabetes,Principal,AutoGluon,10,01:00
diabetes,Principal,AutoSklearn,1,60:00
diabetes,Principal,AutoSklearn,2,60:00
diabetes,Principal,AutoSklearn,3,60:00
diabetes,Principal,AutoSklearn,4,60:00
diabetes,Principal,AutoSklearn,5,60:00
diabetes,Principal,AutoSklearn,6,60:00
diabetes,Principal,AutoSklearn,7,60:00
diabetes,Principal,AutoSklearn,8,60:00
diabetes,Principal,AutoSklearn,9,60:00
diabetes,Principal,AutoSklearn,10,60:00
diabetes,Principal,TPOT,1,12:32
diabetes,Principal,TPOT,2,15:52
diabetes,Principal,TPOT,3,03:52
diabetes,Principal,TPOT,4,31:39
diabetes,Principal,TPOT,5,09:29
diabetes,Principal,TPOT,6,05:27
diabetes,Principal,TPOT,7,01:19
diabetes,Principal,TPOT,8,60:00
diabetes,Principal,TPOT,9,14:16
diabetes,Principal,TPOT,10,10:32
diabetes,Principal,Rminer,1,01:09
diabetes,Principal,Rminer,2,00:54
diabetes,Principal,Rminer,3,00:50
diabetes,Principal,Rminer,4,00:48
diabetes,Principal,Rminer,5,00:50
diabetes,Principal,Rminer,6,00:48
diabetes,Principal,Rminer,7,00:47
diabetes,Principal,Rminer,8,00:47
diabetes,Principal,Rminer,9,00:47
diabetes,Principal,Rminer,10,00:49
diabetes,Principal,TransmogrifAI,1,08:11
diabetes,Principal,TransmogrifAI,2,07:51
diabetes,Principal,TransmogrifAI,3,07:37
diabetes,Principal,TransmogrifAI,4,07:14
diabetes,Principal,TransmogrifAI,5,06:23
